No,Date,Start_time,End_time,hall,Now_show
1,2021-10-31,8:00:00,10:01:02,1,LionKing
2,2021-10-31,11:00:00,13:01:02,1,LionKing
3,2021-10-31,14:00:00,16:01:02,1,LionKing
4,2021-10-31,17:00:00,19:01:02,1,LionKing
5,2021-10-31,20:00:00,22:01:02,1,LionKing
6,2021-10-31,21:00:00,23:01:02,1,LionKing
7,2021-10-31,8:00:00,10:01:02,2,LionKing
8,2021-10-31,11:00:00,13:01:02,2,LionKing
9,2021-10-31,14:00:00,16:01:02,2,LionKing
10,2021-10-31,17:00:00,19:01:02,2,LionKing
11,2021-10-31,20:00:00,22:01:02,2,LionKing
12,2021-10-31,21:00:00,23:01:02,2,LionKing
13,2021-11-01,8:00:00,9:45:30,1,Rio
14,2021-11-01,11:00:00,13:01:02,1,LionKing
15,2021-11-01,14:00:00,16:01:02,1,LionKing
16,2021-11-01,17:00:00,18:45:30,1,Rio
17,2021-11-01,20:00:00,21:45:30,1,Rio
18,2021-11-01,21:00:00,22:45:30,1,Rio
19,2021-11-01,8:00:00,9:45:30,2,Rio
20,2021-11-01,11:00:00,12:45:30,2,Rio
21,2021-11-01,14:00:00,16:01:02,2,LionKing
22,2021-11-01,17:00:00,18:45:30,2,Rio
23,2021-11-01,20:00:00,22:01:02,2,LionKing
24,2021-11-01,21:00:00,23:01:02,2,LionKing
25,2021-11-02,8:00:00,9:45:30,1,Rio
26,2021-11-02,11:00:00,12:45:30,1,Rio
27,2021-11-02,14:00:00,16:01:02,1,LionKing
28,2021-11-02,17:00:00,18:45:30,1,Rio
29,2021-11-02,20:00:00,21:45:30,1,Rio
30,2021-11-02,21:00:00,23:01:02,1,LionKing
31,2021-11-02,8:00:00,9:45:30,2,Rio
32,2021-11-02,11:00:00,12:45:30,2,Rio
33,2021-11-02,14:00:00,15:45:30,2,Rio
34,2021-11-02,17:00:00,18:45:30,2,Rio
35,2021-11-02,20:00:00,21:45:30,2,Rio
36,2021-11-02,21:00:00,23:01:02,2,LionKing
37,2021-11-03,8:00:00,10:01:02,1,LionKing
38,2021-11-03,11:00:00,13:01:02,1,LionKing
39,2021-11-03,14:00:00,15:45:30,1,Rio
40,2021-11-03,17:00:00,19:01:02,1,LionKing
41,2021-11-03,20:00:00,22:01:02,1,LionKing
42,2021-11-03,21:00:00,23:01:02,1,LionKing
43,2021-11-03,8:00:00,9:45:30,2,Rio
44,2021-11-03,11:00:00,12:45:30,2,Rio
45,2021-11-03,14:00:00,16:01:02,2,LionKing
46,2021-11-03,17:00:00,19:01:02,2,LionKing
47,2021-11-03,20:00:00,22:01:02,2,LionKing
48,2021-11-03,21:00:00,22:45:30,2,Rio
49,2021-11-04,8:00:00,9:45:30,1,Rio
50,2021-11-04,11:00:00,12:45:30,1,Rio
51,2021-11-04,14:00:00,15:45:30,1,Rio
52,2021-11-04,17:00:00,19:01:02,1,LionKing
53,2021-11-04,20:00:00,22:01:02,1,LionKing
54,2021-11-04,21:00:00,22:45:30,1,Rio
55,2021-11-04,8:00:00,9:45:30,2,Rio
56,2021-11-04,11:00:00,12:45:30,2,Rio
57,2021-11-04,14:00:00,15:45:30,2,Rio
58,2021-11-04,17:00:00,19:01:02,2,LionKing
59,2021-11-04,20:00:00,21:45:30,2,Rio
60,2021-11-04,21:00:00,23:01:02,2,LionKing
61,2021-11-05,8:00:00,10:10:20,1,Anabelle
62,2021-11-05,11:00:00,13:01:02,1,LionKing
63,2021-11-05,14:00:00,15:45:30,1,Rio
64,2021-11-05,17:00:00,19:10:20,1,Anabelle
65,2021-11-05,20:00:00,22:01:02,1,LionKing
66,2021-11-05,21:00:00,22:45:30,1,Rio
67,2021-11-05,8:00:00,10:10:20,2,Anabelle
68,2021-11-05,11:00:00,12:45:30,2,Rio
69,2021-11-05,14:00:00,16:10:20,2,Anabelle
70,2021-11-05,17:00:00,18:45:30,2,Rio
71,2021-11-05,20:00:00,22:10:20,2,Anabelle
72,2021-11-05,21:00:00,22:45:30,2,Rio
73,2021-11-06,8:00:00,10:10:20,1,Anabelle
74,2021-11-06,11:00:00,13:01:02,1,LionKing
75,2021-11-06,14:00:00,15:45:30,1,Rio
76,2021-11-06,17:00:00,19:01:02,1,LionKing
77,2021-11-06,20:00:00,21:45:30,1,Rio
78,2021-11-06,21:00:00,22:45:30,1,Rio
79,2021-11-06,8:00:00,9:45:30,2,Rio
80,2021-11-06,11:00:00,12:45:30,2,Rio
81,2021-11-06,14:00:00,16:01:02,2,LionKing
82,2021-11-06,17:00:00,19:10:20,2,Anabelle
83,2021-11-06,20:00:00,21:45:30,2,Rio
84,2021-11-06,21:00:00,22:45:30,2,Rio
85,2021-11-07,8:00:00,9:45:30,1,Rio
86,2021-11-07,11:00:00,13:01:02,1,LionKing
87,2021-11-07,14:00:00,16:10:20,1,Anabelle
88,2021-11-07,17:00:00,19:01:02,1,LionKing
89,2021-11-07,20:00:00,22:01:02,1,LionKing
90,2021-11-07,21:00:00,23:01:02,1,LionKing
91,2021-11-07,8:00:00,10:10:20,2,Anabelle
92,2021-11-07,11:00:00,12:45:30,2,Rio
93,2021-11-07,14:00:00,16:10:20,2,Anabelle
94,2021-11-07,17:00:00,18:45:30,2,Rio
95,2021-11-07,20:00:00,21:45:30,2,Rio
96,2021-11-07,21:00:00,23:10:20,2,Anabelle
97,2021-11-08,8:00:00,10:10:20,1,Anabelle
98,2021-11-08,11:00:00,12:45:30,1,Rio
99,2021-11-08,14:00:00,16:10:20,1,Anabelle
100,2021-11-08,17:00:00,19:10:20,1,Anabelle
101,2021-11-08,20:00:00,22:01:02,1,LionKing
102,2021-11-08,21:00:00,23:01:02,1,LionKing
103,2021-11-08,8:00:00,10:10:20,2,Anabelle
104,2021-11-08,11:00:00,13:10:20,2,Anabelle
105,2021-11-08,14:00:00,15:45:30,2,Rio
106,2021-11-08,17:00:00,18:45:30,2,Rio
107,2021-11-08,20:00:00,22:10:20,2,Anabelle
108,2021-11-08,21:00:00,23:10:20,2,Anabelle
109,2021-11-09,8:00:00,9:45:30,1,Rio
110,2021-11-09,11:00:00,13:10:20,1,Anabelle
111,2021-11-09,14:00:00,15:45:30,1,Rio
